gh7,impact,p_hotspot
tdr0zv7,76.21995630007284,0.018606755142091595
tdr0zve,75.49162418062637,0.011195597612900968
tdr0zvf,68.24471959213402,0.001345909439622488
tdr17n7,44.19155134741442,0.00012637446325768488
tdr17nu,55.18936635105608,0.001240348247799448
tdr17x3,21.321922796795338,0.016211641749186795
tdr1e7h,16.806263656227237,2.3217601450996112e-05
tdr1e7s,11.216314639475602,2.123236851896693e-05
tdr1efj,51.747997086671525,3.809042037433058e-05
tdr1efm,78.47778587035688,0.0009542043136879287
tdr1efy,65.60451565914057,0.00010175890088373307
tdr1efz,66.04151493080846,2.147904683842917e-05
tdr1egn,58.120903131828115,8.674412295062266e-06
tdr1eyx,84.10415149308085,0.04401366521426803
tdr1eyz,95.97596504005827,0.9891489502834742
tdr1ez6,58.958485069191546,0.00019357454513683618
tdr1ez9,70.46613255644574,0.0005190390890913274
tdr1ezd,58.867443554260745,2.7035123329898416e-05
tdr1ezp,92.88055353241079,0.9940958006428688
tdr1g5g,35.87035688273853,0.00030836530248680015
tdr1g9r,64.79424617625638,8.512843404272395e-05
tdr1gcb,53.00436999271668,9.9952703923821e-06
tdr1gq3,7.119446467589221,2.1174199335747772e-05
tdr1gsd,54.71595047341587,3.354963880758601e-05
tdr1gse,63.74726875455208,0.0001310758389090955
tdr1gsu,70.40240349599416,0.00010368775975015077
tdr1gsv,51.456664238892934,1.686261925506819e-05
tdr1gsx,50.78295702840495,1.3205644246651237e-05
tdr1gup,39.73051711580481,3.320625401283174e-05
tdr1gur,53.05899490167516,2.6890477237952988e-05
tdr1hjr,32.19227967953387,7.546664219024594e-05
tdr1hjx,25.491624180626367,5.829561667111857e-05
tdr1hrn,30.18936635105608,0.0003512665420088348
tdr1hrx,47.013838310269485,3.853946922525986e-05
tdr1hxc,54.46103423160962,0.0002214348278318997
tdr1jsd,25.036416605972324,4.59272529824976e-05
tdr1jxq,49.63583394027676,3.4040987967925887e-05
tdr1jxz,61.54406409322652,4.0735161794409185e-05
tdr1k84,34.10415149308085,5.520264140103659e-05
tdr1k8d,23.652585579024034,1.58407745656761e-05
tdr1k9m,23.488710852148582,9.512788848910043e-05
tdr1kfn,46.74071376547706,5.460963715194951e-06
tdr1kfp,49.32629278951202,3.392218320286248e-05
tdr1kfq,51.711580480699205,5.979753968020789e-05
tdr1kfr,52.84049526584123,4.8526106318031184e-05
tdr1kfx,53.44136926438456,8.977983909278189e-05
tdr1kmc,60.9340859431901,0.0016936730181010015
tdr1kt2,61.14348142753096,0.00021918320303373177
tdr1kte,71.06700655498908,0.0023150122870270544
tdr1kwn,89.89439184268026,0.23623360868169394
