,0
lag_sev_sum,4915777.832077116
tier3_count,832661.892686978
lag_n,601135.046452254
impact_intensity_total,343191.75249785185
tier3_share,173041.7658725381
kde_sev,143051.52990607917
heavy_share,125185.047446087
heavy_share_eb,104612.93984295428
lag_tier3_share,98512.0917365551
tier3_share_eb,97654.22180989385
mean_sev,37767.4531891793
heavy_x_mainroad,30206.1735842973
commercial_share,24931.568549200892
f_main_road,24082.57708118856
f_circle,12029.65443225205
sev_sum_total,10935.086425825953
n,8653.374871447682
f_junction,7413.393780887127
distinct_days,6630.373348668218
twowheeler_share,5843.2147533893585
distinct_officers,1858.1982994377613
tier3_x_junction,1643.6851189136505
distinct_devices,1290.6703390926123
f_cross,1176.7727638185024
distinct_weeks,913.1925575435162
n_valid,610.3102594614029
recurrence_weeks,409.9412480890751
f_mall,59.92112772166729
f_busstop_school_hosp,55.59374426305294
f_market,12.683445125818253
f_metro,0.0
