rank,gh7,lat,lon,impact,n,tier3_share,heavy_share,mappls_street,mappls_subLocality,mappls_locality,mappls_district,road_class,road_exposure,impact_capacity
13,tdr38j7,12.949825590404041,77.69968858434343,99.78,396,0.624,0.26,Outer Ring Road,Marathahalli Village,Marathahalli,Bengaluru Urban District,arterial/highway,1.5,149.67
24,tdr38je,12.950755534860487,77.69984150146493,99.58,216,0.727,0.333,Outer Ring Road,Sharadamma Layout,Munnekolala,Bengaluru Urban District,arterial/highway,1.5,149.37
25,tdr38j6,12.949687139622641,77.6992643283019,99.56,53,0.604,0.302,Outer Ring Road,Marathahalli Village,Marathahalli,Bengaluru Urban District,arterial/highway,1.5,149.34
28,tdr1xf6,12.932640992095982,77.68829003224398,99.51,225,0.324,0.058,Outer Ring Road,Vajram Onyx,Devara Beesana Halli,Bengaluru Urban District,arterial/highway,1.5,149.26
29,tdr1xfe,12.934088191839336,77.68960222568539,99.49,100,0.6,0.03,Outer Ring Road,Prestige Silver Crest,Kadubisanahalli,Bengaluru Urban District,arterial/highway,1.5,149.24
34,tdr1xgn,12.936760726270863,77.69287072590002,99.4,147,0.204,0.068,Outer Ring Road,Featherlite The Address,Kadubisanahalli,Bengaluru Urban District,arterial/highway,1.5,149.1
36,tdr1xf7,12.932918650140323,77.68874186308155,99.36,294,0.224,0.024,Outer Ring Road,Chandana,Kadubisanahalli,Bengaluru Urban District,arterial/highway,1.5,149.04
44,tdr1zwe,13.000400955672701,77.67772099160082,99.22,405,0.489,0.032,Outer Ring Road,Venkatappa Colony,Mahadevapura,Bengaluru Urban District,arterial/highway,1.5,148.83
70,tdr38j4,12.947968972877314,77.69908294806194,98.74,71,0.169,0.042,Outer Ring Road,Sumadhura Platinum Square,Kadubisanahalli,Bengaluru Urban District,arterial/highway,1.5,148.12
79,tdr38hf,12.94687215028284,77.69878686404293,98.58,57,0.421,0.035,Outer Ring Road,Sumadhura Platinum Square,Kadubisanahalli,Bengaluru Urban District,arterial/highway,1.5,147.87
80,tdr1xf4,12.93198563932637,77.68788155331049,98.56,169,0.355,0.041,Outer Ring Road,Vajram Onyx,Devara Beesana Halli,Bengaluru Urban District,arterial/highway,1.5,147.84
90,tdr1zfz,12.979380445238094,77.6949068647619,98.38,210,0.5,0.067,Outer Ring Road,Doddanakundi Junction,Doddanekundi,Bengaluru Urban District,arterial/highway,1.5,147.57
31,tdr3853,12.938589722923924,77.69727140318987,99.45,244,0.34,0.02,Panathur Main Road,Darshan Layout,Kadubisanahalli,Bengaluru Urban District,main road,1.35,134.26
50,tdr1trf,12.963504806043018,77.57754710031718,99.11,546,0.143,0.009,Kalasipalyam Main Road,,City Market Circle,Bengaluru Urban District,main road,1.35,133.8
55,tdr3852,12.938935002043824,77.6964605578594,99.02,79,0.405,0.013,Panathur Main Road,Reddy Layout,Kadubisanahalli,Bengaluru Urban District,main road,1.35,133.67
64,tdr3856,12.938165458474623,77.69866161522188,98.85,125,0.28,0.064,Panathur Main Road,Mariyappa Layout,Kadubisanahalli,Bengaluru Urban District,main road,1.35,133.45
