,0
impact_intensity_total,2504831.7515468597
commercial_share,482810.85754680634
tier3_count,452617.4068660736
twowheeler_share,443236.67704916
f_main_road,274481.7927765846
sev_sum_total,271997.9040899277
distinct_devices,269448.6240634918
distinct_days,262688.8790001869
distinct_weeks,261882.72583675385
distinct_officers,248340.69745349884
tier3_share_eb,242167.30191230774
heavy_share,230572.17354774475
heavy_share_eb,228097.4293193817
mean_sev,214817.68702936172
f_cross,213938.33778190613
n,192635.34218597412
tier3_share,103389.37596797943
f_circle,97347.68838977814
f_junction,88894.15164852142
recurrence_weeks,83464.15983200073
heavy_x_mainroad,53561.67041683197
f_mall,46816.614112854004
f_busstop_school_hosp,43461.3198261261
n_valid,38957.575377464294
f_market,17015.880606651306
tier3_x_junction,9296.40696144104
f_metro,0.0
