rank,gh7,lat,lon,impact,tier3_share,heavy_share,segment_m,t_base_s,capacity_reduction,delay_min
3,tdr3858,12.93973288841342,77.69557731104813,99.96,0.947,0.07,6159.2,823.0,0.446,11.02
1,tdr1zmv,12.996555759412237,77.66938846018412,100.0,0.793,0.31,4619.0,584.7,0.44,7.65
2,tdr1zqj,12.99718472440759,77.66994432231729,99.98,0.681,0.426,4708.9,600.9,0.423,7.35
6,tdr1zmu,12.996175827620116,77.66845894210168,99.91,0.651,0.162,4341.4,649.0,0.36,6.09
18,tdr1zmg,12.995703674126748,77.66720008716078,99.69,0.615,0.167,3698.3,589.8,0.349,5.26
13,tdr38j7,12.949825590404041,77.69968858434343,99.78,0.624,0.26,2619.6,419.8,0.37,4.11
10,tdr6001,13.008084070967742,77.69682238709677,99.84,0.887,0.032,2177.7,343.9,0.417,4.1
7,tdr4pbp,13.008235539011372,77.69471723099761,99.89,0.255,0.025,4373.5,555.9,0.194,2.23
17,tdr1zwd,13.000437365404988,77.67694617923867,99.71,0.391,0.041,3735.4,376.2,0.245,2.04
14,tdr6003,13.010044446555556,77.69730904651851,99.76,0.367,0.052,1919.4,348.7,0.239,1.82
12,tdr4pbn,13.00830140085837,77.69355554034335,99.8,0.159,0.03,4422.9,555.6,0.162,1.78
9,tdr1xgx,12.939630164955167,77.69472388702883,99.85,0.205,0.057,1956.0,360.6,0.183,1.35
