gh5,impact_mean,impact_max,n,lat,lon
tdr0z,69.24270800818506,80.49890750182082,219,12.822051813877513,77.68641830060487
tdr16,28.647730031561057,30.872177713037146,9,12.895502858333332,77.45402520833333
tdr17,36.270655043699925,66.62418062636563,197,12.91054603493122,77.49423714106672
tdr1d,30.826656955571742,30.826656955571742,1,12.9234668,77.4728372
tdr1e,40.17902163386504,95.97596504005827,1475,12.94317326146202,77.50502346883374
tdr1f,40.30711337703326,46.54042243262928,35,12.988415593661616,77.46512243056817
tdr1g,30.51245534630458,70.40240349599416,995,12.981112583533843,77.50148327895567
tdr1h,38.730881281864534,54.46103423160962,232,12.868728924460532,77.53611008919583
tdr1j,28.248759559359065,75.20029133284778,212,12.86355556197774,77.58796782058447
tdr1k,43.1254774128222,92.26147123088128,882,12.898100435589177,77.54763908660765
tdr1m,38.78337543196294,89.18426802621995,3788,12.904522376472553,77.58589940548964
tdr1n,57.75387576734991,97.23233794610341,1862,12.858015103770043,77.64322535065105
tdr1p,56.048905359667536,87.85506190823014,1011,12.856113000277096,77.66469085090397
tdr1q,39.6884898118193,97.30517115804807,5543,12.900809461406459,77.63330558153822
tdr1r,40.000832933008944,76.91187181354697,1724,12.905243408113199,77.6718087834659
tdr1s,56.852531205842766,98.96212672978878,3904,12.946423749563662,77.54260867963504
tdr1t,50.97857117560196,99.10779315367807,16721,12.945289094736843,77.5837846742403
tdr1u,66.71884938898891,99.30808448652586,29406,12.985421250979146,77.54591173829076
tdr1v,61.591463485126994,99.5265841223598,73714,12.983203467265389,77.58534539964731
tdr1w,46.65208113109695,98.23379461034231,5974,12.939747410720617,77.62573079326376
tdr1x,64.92829027909066,99.8543335761107,11399,12.938133230561968,77.67779049708773
tdr1y,57.540142956350884,99.4719592134013,21461,12.983039406782636,77.62417611323993
tdr1z,62.60044318771451,100.0,7845,12.991256158900264,77.67299871568832
tdr2b,40.367807720320464,46.3401310997815,29,12.805830061805556,77.69954376458334
tdr30,8.997936392328235,14.156955571740715,3,12.861233233333332,77.70470373333333
tdr32,35.68240020675235,61.52585579024035,502,12.902963934073062,77.71089982897755
tdr33,62.09486525855791,66.86088856518573,39,12.884137404919098,77.75094884848747
tdr38,70.79884173451751,99.96358339402768,6721,12.950877418797896,77.71101183731932
tdr39,44.77876911871814,84.94173343044427,226,12.94973439087622,77.74623074409946
tdr3b,53.457094616963516,99.92716678805536,4447,12.983866742341288,77.7140435488226
tdr3c,50.054439109948426,80.48069919883467,516,12.98487357837753,77.75399050308204
tdr45,39.66516231401519,82.0284049526584,1121,13.036242269440436,77.50526676055124
tdr46,14.340176620538967,44.59213401310998,139,13.06298515451141,77.45990494549851
tdr47,18.112340308261647,40.404224326292784,254,13.062134141729448,77.49601949940417
tdr4h,55.897972808934206,98.50691915513474,12535,13.024808213420384,77.54403453336852
tdr4j,43.06364813466052,99.08958485069192,8208,13.029373978299372,77.58169395785106
tdr4k,27.450913449866473,69.71959213401311,445,13.067788717581628,77.54682297105522
tdr4m,52.35908719414221,95.59359067734887,6747,13.067583168747262,77.58697089370844
tdr4n,22.504269533113998,71.66788055353241,1165,13.027338073094464,77.62961692887203
tdr4p,19.70441854819131,99.89075018208304,1634,13.017762723308268,77.66766778395464
tdr4q,33.873610882691544,67.35251274581209,392,13.06945675606954,77.6348703802552
tdr4r,29.773176568515247,37.108521485797525,96,13.064271638072745,77.65176676506748
tdr4s,1.4566642388929352,1.4566642388929352,4,13.09775805,77.56334509999999
tdr4t,24.072656819009467,84.68681718863802,1112,13.103602657152058,77.58843088512424
tdr4v,55.77203204661325,55.77203204661325,11,13.160785872727272,77.59562729999999
tdr4w,42.661630447670184,91.09613983976693,464,13.119512875953493,77.62080987265159
tdr4y,46.574696885309116,59.304442825928625,163,13.15397651777929,77.62356464646872
tdr4z,84.68833454722021,97.1959213401311,426,13.183263393676631,77.68022757842063
tdr5n,95.07075226303195,99.74508375819373,746,13.189884161761984,77.6450342277393
tdr5p,35.754369992716676,98.98033503277495,3804,13.19269818272423,77.68191136589388
tdr5r,42.89876183539694,42.89876183539694,2,13.2302231,77.6933171
tdr5s,95.17479970866715,95.17479970866715,1,13.293684372967755,77.53250753446538
tdr60,43.4063688597556,99.83612527312454,2150,13.021271734682292,77.7125400807347
tdr61,39.090830681948866,80.82665695557174,264,13.02691657825251,77.75759092928139
tdr62,60.9340859431901,60.9340859431901,1,13.063394,77.7361362
tdr63,60.09650400582666,78.73270211216314,99,13.056337905798658,77.75516480552359
tdr6b,21.67243262927895,39.912600145666424,6,13.1781618,77.7120541
tdr70,1.9304173073291793,6.336489439184268,72,13.196743358603989,77.7043310107906
tdr72,34.38410415149308,44.04588492352512,117,13.250068560359189,77.71343030523488
